Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,Grand total men (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total women (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total men (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total women (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total men (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Psychology  Bachelor's degree),Grand total women (C2016_A  First major  Psychology  Bachelor's degree),Grand total men (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total women (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total men (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total men (C2016_A  First major  History  Bachelor's degree),Grand total women (C2016_A  First major  History  Bachelor's degree),City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Applicants men (ADM2015),Applicants women (ADM2015),Admissions men (ADM2015),Admissions women (ADM2015),Percent of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Number of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Total women (EF2015  All students  Undergraduate total),Total men (EF2015  All students  Undergraduate total),Grand total (EF2015B  Undergraduate  Age under 25 total),Grand total (EF2015B  Undergraduate  Age 25 and over total),American Indian or Alaska Native total (EF2015A  All students total),Asian total (EF2015A  All students total),Black or African American total (EF2015A  All students total),Hispanic total (EF2015A  All students total),Native Hawaiian or Other Pacific Islander total (EF2015A  All students total),White total (EF2015A  All students total),Two or more races total (EF2015A  All students total),Race/ethnicity unknown total (EF2015A  All students total),Nonresident alien total (EF2015A  All students total),8-year Graduation rate - bachelor's degree within 200% of normal time (GR200_15),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_15),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),American Indian or Alaska Native total (C2016_A  First major  Grand total  Bachelor's degree),Asian total (C2016_A  First major  Grand total  Bachelor's degree),Black or African American total (C2016_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2016_A  First major  Grand total  Bachelor's degree),Native Hawaiian or Other Pacific Islander total (C2016_A  First major  Grand total  Bachelor's degree),White total (C2016_A  First major  Grand total  Bachelor's degree),Two or more races total (C2016_A  First major  Grand total  Bachelor's degree),Race/ethnicity unknown total (C2016_A  First major  Grand total  Bachelor's degree),Nonresident alien total (C2016_A  First major  Grand total  Bachelor's degree),Early Career($),Mid-Career($),SAT 25th percentile,SAT 75th percentile,ACT 25th percentile,ACT 75th percentile,AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
