Rank,Institution Name,City location of institution_x,Average Class Size,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
117,Auburn University,Auburn,41.4,Auburn,www.auburn.edu,1,AL,1,13,2,1,90,4420,0.081819121,0.499801965,0.357906114,0.447222929,0.798351748,0.091902075,0.47367165,177,0.628294251,0.490765394
49,Oregon State University,Corvallis,45.675,Corvallis,oregonstate.edu,1,OR,1,13,2,1,85,5084,0.330703078,0.497139951,0.578130892,0.452524451,0.870980732,0.089472338,0.466287323,155,0.822509524,0.500020955
116,Syracuse University,Syracuse,30.725,Syracuse,syr.edu/,2,NY,1,12,2,1,91,3467,0.067081819,0.495480132,0.672475538,0.451174752,0.861024969,0.090495998,0.500003947,232,0.345427317,0.496207096
18,University of Pennsylvania,Philadelphia,30.3775,Philadelphia,www.upenn.edu,2,PA,1,11,2,1,98,2927,0.107279402,0.499043957,0.727567414,0.445969385,0.84655141,0.088852947,0.500003605,280,0.867585915,0.499792137
38,Northwestern University,Evanston,26.95,Evanston,www.northwestern.edu,2,IL,1,13,2,1,97,2328,0.086345303,0.500056055,0.723483457,0.451535508,0.825709742,0.089044064,0.500003546,275,0.791906576,0.499446141
93,University of Miami,Coral Gables,31.9,Coral Gables,www.miami.edu/,2,FL,1,21,2,1,92,2601,0.111063897,0.499603081,0.757807533,0.462573501,0.852447209,0.093064105,0.500003888,235,0.363034301,0.497656866
,University of California-Irvine,Irvine,39.85,Irvine,www.uci.edu/,1,CA,1,11,2,1,93,6570,0.084040036,0.497172035,0.771298352,0.432336243,0.863247221,0.084737372,0.458439837,241,0.316969356,0.497061357
6,Cornell University,Ithaca,38.875,Ithaca,www.cornell.edu,2,NY,1,13,2,1,97,3758,0.020738888,0.499551719,0.768815207,0.4526776,0.845468579,0.042832145,0.500003698,274,0.7956954,0.496932889
,University of South Carolina-Columbia,Columbia,40.175,Columbia,www.sc.edu/,1,SC,1,12,2,1,87,5417,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
59,Brown University,Providence,30.6,Providence,www.brown.edu,2,RI,1,12,2,1,98,1591,0.020239023,0.498266959,0.767305926,0.437398693,0.86659873,0.081290684,0.500003671,275,0.79152176,0.481735337
66,George Washington University,Washington,32.525,Washington,www.gwu.edu,2,DC,1,11,2,1,94,2441,0.164116034,0.491726498,0.6949635,0.439835754,0.78447224,0.090937324,0.500003719,239,0.385396166,0.484200225
