Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Grand total (C2016_A  First major  Grand total  Bachelor's degree),Full-time retention rate  2015 (EF2015D),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
149,Montana State University,Bozeman,66,79,26,56,72,65,43,54,634,42,Bozeman,www.montana.edu/,1,MT,1,33,2,1,2282,76,0.239026608,0.494950116,0.284059113,0.458642385,0.884670673,0.07869402,0.459457277,122,0.608630725,0.499948018
,University of California-Santa Barbara,Santa Barbara,73,54,52,49,61,55,49,53,613,82,Santa Barbara,www.ucsb.edu,1,CA,1,22,2,1,5235,93,0.044021381,0.49842613,0.770814598,0.432336243,0.839333488,0.088204321,0.462192689,231,0.294179766,0.497703193
527,University of Alaska Anchorage,Anchorage,65,58,44,59,71,64,50,44,626,54,Anchorage,www.uaa.alaska.edu,1,AK,1,11,2,1,1177,71,0.491620221,0.488634629,0.652524699,0.465358323,0.820667759,0.08816088,0.480877497,71,0.94348277,0.494656714
594,University of Nebraska at Kearney,Kearney,50,73,25,59,58,78,61,45,619,70,Kearney,www.unk.edu,1,NE,1,32,2,1,995,80,0.176642712,0.486830074,0.345873215,0.456605494,0.769043812,0.119893209,0.493878512,129,0.727407366,0.479967506
904,Minot State University,Minot,53,74,45,50,60,53,69,44,616,77,Minot,www.minotstateu.edu,1,ND,1,33,2,1,554,75,0.383781963,0.475334622,0.522290401,0.479273804,0.698996039,0.117786486,0.500014425,91,0.943219341,0.499869459
,University of California-Santa Cruz,Santa Cruz,68,56,36,48,63,68,54,61,625,56,Santa Cruz,www.ucsc.edu/,1,CA,1,13,2,1,4016,88,0.085798848,0.498763884,0.75400071,0.448876063,0.879851996,0.085283023,0.462557889,198,0.133636675,0.493143813
491,University of North Carolina at Asheville,Asheville,56,64,69,56,60,63,46,43,631,47,Asheville,https://www.unca.edu,1,NC,1,13,2,1,763,79,0.333032936,0.492832876,0.353682713,0.466622511,0.901845628,0.080800438,0.455645349,158,0.484628407,0.471736773
22,Carnegie Mellon University,Pittsburgh,62,54,43,50,62,74,56,69,648,20,Pittsburgh,www.cmu.edu/,2,PA,1,11,2,1,1336,98,0.033480872,0.494879778,0.728585232,0.460438187,0.865198754,0.083264346,0.500003678,252,0.646252908,0.467017976
352,Duquesne University,Pittsburgh,62,54,43,50,62,74,56,69,648,20,Pittsburgh,www.duq.edu,2,PA,1,11,2,1,1484,85,0.103114315,0.470779192,0.354950091,0.459891725,0.780694294,0.117919617,0.500004958,218,0.060534976,0.452038564
391,University of Hartford,West Hartford,53,80,54,48,75,49,62,42,638,30,West Hartford,www.hartford.edu,2,CT,1,12,2,1,1027,74,0.174364892,0.50004234,0.64490729,0.451411855,0.810630529,0.041096963,0.500004705,174,-0.067628035,0.489028997
